tag,yr,mo,total
HRG,2019,8,"62,035"
HRG,2019,9,"64,646"
IFAO,2018,1,19
IFAO,2018,2,42
IFAO,2018,3,52
IFAO,2018,4,69
IFAO,2018,5,111
IFAO,2018,6,169
IFAO,2018,7,214
IFAO,2018,8,245
IFAO,2018,9,273
IFAO,2018,10,322
IFAO,2018,11,380
IFAO,2018,12,414
IFAO,2019,1,450
IFAO,2019,2,513
IFAO,2019,3,573
IFAO,2019,4,809
IFAO,2019,5,1220
IFAO,2019,6,1558
IFAO,2019,7,1811
IFAO,2019,8,2042
IFAO,2019,9,2333
INNTEL,2018,1, -   
INNTEL,2018,2,#VALUE!
INNTEL,2018,3,#VALUE!
INNTEL,2018,4,#VALUE!
INNTEL,2018,5,#VALUE!
INNTEL,2018,6,#VALUE!
INNTEL,2018,7,#VALUE!
INNTEL,2018,8,#VALUE!
INNTEL,2018,9,#VALUE!
INNTEL,2018,10,#VALUE!
INNTEL,2018,11,#VALUE!
INNTEL,2018,12,#VALUE!
INNTEL,2019,1,#VALUE!
INNTEL,2019,2,#VALUE!
INNTEL,2019,3,#VALUE!
INNTEL,2019,4,#VALUE!
INNTEL,2019,5,#VALUE!
INNTEL,2019,6,#VALUE!
INNTEL,2019,7,#VALUE!
INNTEL,2019,8,#VALUE!
INNTEL,2019,9,#VALUE!
KDS,2018,1,"2,984"
KDS,2018,2,"8,709"
KDS,2018,3,"13,979"
KDS,2018,4,"18,273"
KDS,2018,5,"21,814"
KDS,2018,6,"24,948"
KDS,2018,7,"27,335"
KDS,2018,8,28952
KDS,2018,9,"31,334"
KDS,2018,10,"35,445"
KDS,2018,11,"40,385"
KDS,2018,12,"44,803"
KDS,2019,1,"50,980"
KDS,2019,2,"59,337"
KDS,2019,3,"68,348"
KDS,2019,4,"77,665"
KDS,2019,5,"88,263"
KDS,2019,6,"98,813"
KDS,2019,7,"104,947"
KDS,2019,8,"111,528"
KDS,2019,9,"121,516"
LOCO2,2018,1,"4,315"
LOCO2,2018,2,"12,351"
LOCO2,2018,3,"21,821"
LOCO2,2018,4,"36,845"
LOCO2,2018,5,"59,712"
LOCO2,2018,6,"89,840"
LOCO2,2018,7,"124,884"
LOCO2,2018,8,"162,822"
LOCO2,2018,9,"200,568"
LOCO2,2018,10,"239,352"
LOCO2,2018,11,"280,148"
LOCO2,2018,12,"316,596"
LOCO2,2019,1,"345,908"
LOCO2,2019,2,"365,777"
LOCO2,2019,3,372484
LOCO2,2019,4,#VALUE!
LOCO2,2019,5,#VALUE!
LOCO2,2019,6,#VALUE!
LOCO2,2019,7,#VALUE!
LOCO2,2019,8,#VALUE!
LOCO2,2019,9,#VALUE!
PASS,2018,1,801
PASS,2018,2,2278
PASS,2018,3,3766
PASS,2018,4,5525
PASS,2018,5,7280
PASS,2018,6,8865
PASS,2018,7,10346
PASS,2018,8,11651
PASS,2018,9,13067
PASS,2018,10,"14,979"
PASS,2018,11,16934
PASS,2018,12,18323
PASS,2019,1,19799
PASS,2019,2,21400
PASS,2019,3,22642
PASS,2019,4,23878
PASS,2019,5,24940
PASS,2019,6,#VALUE!
PASS,2019,7,#VALUE!
PASS,2019,8,#VALUE!
PASS,2019,9,#VALUE!
RAILEUROPE,2018,1, -   
RAILEUROPE,2018,2,#VALUE!
RAILEUROPE,2018,3,#VALUE!
RAILEUROPE,2018,4,#VALUE!
RAILEUROPE,2018,5,#VALUE!
RAILEUROPE,2018,6,#VALUE!
RAILEUROPE,2018,7,#VALUE!
RAILEUROPE,2018,8,#VALUE!
RAILEUROPE,2018,9,#VALUE!
RAILEUROPE,2018,10,#VALUE!
RAILEUROPE,2018,11,#VALUE!
RAILEUROPE,2018,12,#VALUE!
RAILEUROPE,2019,1,#VALUE!
RAILEUROPE,2019,2,#VALUE!
RAILEUROPE,2019,3,#VALUE!
