name, value ,year, lastValue ,rank
EASTMID,0,7,0,18
TFWALES,0,7,0,18
BUSBUD,0,8,0,19
CERTIFY,2,8,0,18
CONCUR,11,8,10,16
EGENCIA,119061,8,104270,4
GETTHERE,4,8,2,17
HRG,752,8,611,13
IFAO,18,8,17,15
INNTEL,9429,8,7601,9
KDS,9289,8,6624,10
LOCO2,0,8,0,19
PASS,0,8,0,19
PAYZONE,0,8,0,19
OMIO,21890,8,18309,6
RAILEUROPE,10928,8,7982,8
RAILONLINE,0,8,0,19
RAILPLUS,0,8,0,19
REARDEN,644,8,500,14
VIRGINRED,3471,8,2357,11
ROME2RIO,0,8,0,19
WANDERU,2085,8,812,12
RailEurope Fr.,12563,8,9192,7
Egencia Fr.,375567,8,327755,2
CHILTERN,138623,8,108116,3
GRAND CENTRAL,28279,8,20749,5
EASTMID,0,8,0,19
TFWALES,0,8,0,19
BUSBUD,0,9,0,19
CERTIFY,2,9,2,18
CONCUR,23,9,11,16
EGENCIA,141303,9,119061,4
GETTHERE,16,9,4,17
HRG,951,9,752,13
IFAO,24,9,18,15
INNTEL,13108,9,9429,10
KDS,15141,9,9289,8
LOCO2,0,9,0,19
PASS,0,9,0,19
PAYZONE,0,9,0,19
OMIO,26168,9,21890,6
RAILEUROPE,14666,9,10928,9
RAILONLINE,0,9,0,19
RAILPLUS,0,9,0,19
REARDEN,806,9,644,14
VIRGINRED,4834,9,3471,11
ROME2RIO,0,9,0,19
WANDERU,4241,9,2085,12
RailEurope Fr.,24889,9,12563,7
Egencia Fr.,472091,9,375567,2
CHILTERN,177374,9,138623,3
GRAND CENTRAL,37569,9,28279,5
EASTMID,0,9,0,19
TFWALES,0,9,0,19
BUSBUD,0,10,0,19
CERTIFY,2,10,2,18
CONCUR,30,10,23,15
EGENCIA,166687,10,141303,4
GETTHERE,22,10,16,17
HRG,1244,10,951,13
IFAO,24,10,24,16
INNTEL,17213,10,13108,9
KDS,24372,10,15141,8
LOCO2,0,10,0,19
PASS,0,10,0,19
PAYZONE,0,10,0,19
OMIO,30947,10,26168,7
RAILEUROPE,15497,10,14666,10
RAILONLINE,0,10,0,19
RAILPLUS,0,10,0,19
REARDEN,1048,10,806,14
VIRGINRED,6333,10,4834,11
ROME2RIO,0,10,0,19
WANDERU,6216,10,4241,12
RailEurope Fr.,34202,10,24889,6
Egencia Fr.,563234,10,472091,2
CHILTERN,220459,10,177374,3
GRAND CENTRAL,46064,10,37569,5
EASTMID,0,10,0,19
TFWALES,0,10,0,19
BUSBUD,694,11,0,15
CERTIFY,2,11,2,22
CONCUR,38,11,30,18
EGENCIA,199859,11,166687,4
GETTHERE,37,11,22,19
HRG,1530,11,1244,13
IFAO,34,11,24,20
INNTEL,22636,11,17213,9
KDS,35746,11,24372,7
LOCO2,0,11,0,24
PASS,0,11,0,24
PAYZONE,9,11,0,21
OMIO,35529,11,30947,8
RAILEUROPE,16427,11,15497,10
RAILONLINE,1,11,0,23
RAILPLUS,0,11,0,24
REARDEN,1312,11,1048,14
VIRGINRED,7959,11,6333,11
ROME2RIO,0,11,0,24
WANDERU,7510,11,6216,12
RailEurope Fr.,38205,11,34202,6
Egencia Fr.,662884,11,563234,2
CHILTERN,266276,11,220459,3
GRAND CENTRAL,54287,11,46064,5
EASTMID,417,11,0,16
TFWALES,311,11,0,17
BUSBUD,2461,12,694,14
CERTIFY,2,12,2,22
CONCUR,45,12,38,18
EGENCIA,211468,12,199859,4
GETTHERE,45,12,37,18
HRG,1689,12,1530,15
IFAO,34,12,34,20
INNTEL,24719,12,22636,9
KDS,38472,12,35746,8
LOCO2,0,12,0,24
PASS,0,12,0,24
PAYZONE,18,12,9,21
OMIO,40346,12,35529,6
RAILEUROPE,17278,12,16427,11
RAILONLINE,1,12,1,23
RAILPLUS,0,12,0,24
REARDEN,1508,12,1312,16
VIRGINRED,9119,12,7959,12
ROME2RIO,0,12,0,24
WANDERU,8359,12,7510,13
RailEurope Fr.,40217,12,38205,7
Egencia Fr.,711516,12,662884,2
CHILTERN,293287,12,266276,3
GRAND CENTRAL,60025,12,54287,5
EASTMID,716,12,417,17
TFWALES,22480,12,311,10
